                             component depth     class                                 name     pass    total
         TTJets_HT600to800_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"   413350  6078451
         TTJets_HT600to800_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"   330483   413350
        TTJets_HT800to1200_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"  6631242 10503901
        TTJets_HT800to1200_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"  5570217  6631242
        TTJets_HT800to1200_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"  4975674  5570217
        TTJets_HT800to1200_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"  4975674  4975674
        TTJets_HT800to1200_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2"  4975674  4975674
        TTJets_HT800to1200_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"  4938793  4975674
        TTJets_HT800to1200_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"  4793380  4938793
        TTJets_HT800to1200_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400"  4793356  4793380
        TTJets_HT800to1200_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"   446750  4793356
        TTJets_HT800to1200_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"   360383   446750
       TTJets_HT1200to2500_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"  1848776  2913601
       TTJets_HT1200to2500_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"  1570144  1848776
       TTJets_HT1200to2500_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"  1435663  1570144
       TTJets_HT1200to2500_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"  1435663  1435663
       TTJets_HT1200to2500_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2"  1435663  1435663
       TTJets_HT1200to2500_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"  1434334  1435663
       TTJets_HT1200to2500_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"  1383788  1434334
       TTJets_HT1200to2500_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400"  1383787  1383788
       TTJets_HT1200to2500_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"   185734  1383787
       TTJets_HT1200to2500_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"   149628   185734
        TTJets_HT2500toInf_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"   335782   524338
        TTJets_HT2500toInf_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"   286348   335782
        TTJets_HT2500toInf_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"   270150   286348
        TTJets_HT2500toInf_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"   270150   270150
        TTJets_HT2500toInf_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2"   270150   270150
        TTJets_HT2500toInf_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"   270150   270150
        TTJets_HT2500toInf_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"   254570   270150
        TTJets_HT2500toInf_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400"   254570   254570
        TTJets_HT2500toInf_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"    51718   254570
        TTJets_HT2500toInf_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"    41073    51718
    TTJets_SingleLeptFromT_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"  3674628  8693843
    TTJets_SingleLeptFromT_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"  2635066  3674628
    TTJets_SingleLeptFromT_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"  2334607  2635066
    TTJets_SingleLeptFromT_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"  2334607  2334607
    TTJets_SingleLeptFromT_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2"  2334607  2334607
    TTJets_SingleLeptFromT_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"  2220600  2334607
    TTJets_SingleLeptFromT_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"  2159121  2220600
    TTJets_SingleLeptFromT_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400"   416025  2159121
    TTJets_SingleLeptFromT_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"    38556   416025
    TTJets_SingleLeptFromT_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"    31713    38556
 TTJets_SingleLeptFromTbar_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"  4639307 10971748
